Africa/Abidjan, Greenwich Mean Time, 0,
Africa/Accra, Ghana Mean Time, 0,
Africa/Addis_Ababa, Eastern African Time, 3,
Africa/Algiers, Central European Time, 1,
Africa/Asmara, Eastern African Time, 3,
Africa/Asmera, Eastern African Time, 3,
Africa/Bamako, Greenwich Mean Time, 0,
Africa/Bangui, Western African Time, 1,
Africa/Banjul, Greenwich Mean Time, 0,
Africa/Bissau, Greenwich Mean Time, 0,
Africa/Blantyre, Central African Time, 2,
Africa/Brazzaville, Western African Time, 1,
Africa/Bujumbura, Central African Time, 2,
Africa/Cairo, Eastern European Time, 2,
Africa/Casablanca, Western European Time, 0,
Africa/Ceuta, Central European Time, 1,
Africa/Conakry, Greenwich Mean Time, 0,
Africa/Dakar, Greenwich Mean Time, 0,
Africa/Dar_es_Salaam, Eastern African Time, 3,
Africa/Djibouti, Eastern African Time, 3,
Africa/Douala, Western African Time, 1,
Africa/El_Aaiun, Western European Time, 0,
Africa/Freetown, Greenwich Mean Time, 0,
Africa/Gaborone, Central African Time, 2,
Africa/Harare, Central African Time, 2,
Africa/Johannesburg, South Africa Standard Time, 2,
Africa/Juba, GMT+03:00, 3,
Africa/Kampala, Eastern African Time, 3,
Africa/Khartoum, Eastern African Time, 3,
Africa/Kigali, Central African Time, 2,
Africa/Kinshasa, Western African Time, 1,
Africa/Lagos, Western African Time, 1,
Africa/Libreville, Western African Time, 1,
Africa/Lome, Greenwich Mean Time, 0,
Africa/Luanda, Western African Time, 1,
Africa/Lubumbashi, Central African Time, 2,
Africa/Lusaka, Central African Time, 2,
Africa/Malabo, Western African Time, 1,
Africa/Maputo, Central African Time, 2,
Africa/Maseru, South Africa Standard Time, 2,
Africa/Mbabane, South Africa Standard Time, 2,
Africa/Mogadishu, Eastern African Time, 3,
Africa/Monrovia, Greenwich Mean Time, 0,
Africa/Nairobi, Eastern African Time, 3,
Africa/Ndjamena, Western African Time, 1,
Africa/Niamey, Western African Time, 1,
Africa/Nouakchott, Greenwich Mean Time, 0,
Africa/Ouagadougou, Greenwich Mean Time, 0,
Africa/Porto-Novo, Western African Time, 1,
Africa/Sao_Tome, Greenwich Mean Time, 0,
Africa/Timbuktu, Greenwich Mean Time, 0,
Africa/Tripoli, Eastern European Time, 2,
Africa/Tunis, Central European Time, 1,
Africa/Windhoek, Western African Time, 1,
America/Adak, Hawaii-Aleutian Standard Time, -10,
America/Anchorage, Alaska Standard Time, -9,
America/Anguilla, Atlantic Standard Time, -4,
America/Antigua, Atlantic Standard Time, -4,
America/Araguaina, Brasilia Time, -3,
America/Argentina/Buenos_Aires, Argentine Time, -3,
America/Argentina/Catamarca, Argentine Time, -3,
America/Argentina/ComodRivadavia, Argentine Time, -3,
America/Argentina/Cordoba, Argentine Time, -3,
America/Argentina/Jujuy, Argentine Time, -3,
America/Argentina/La_Rioja, Argentine Time, -3,
America/Argentina/Mendoza, Argentine Time, -3,
America/Argentina/Rio_Gallegos, Argentine Time, -3,
America/Argentina/Salta, Argentine Time, -3,
America/Argentina/San_Juan, Argentine Time, -3,
America/Argentina/San_Luis, Western Argentine Time, -4,
America/Argentina/Tucuman, Argentine Time, -3,
America/Argentina/Ushuaia, Argentine Time, -3,
America/Aruba, Atlantic Standard Time, -4,
America/Asuncion, Paraguay Time, -4,
America/Atikokan, Eastern Standard Time, -5,
America/Atka, Hawaii-Aleutian Standard Time, -10,
America/Bahia, Brasilia Time, -3,
America/Bahia_Banderas, Central Standard Time, -6,
America/Barbados, Atlantic Standard Time, -4,
America/Belem, Brasilia Time, -3,
America/Belize, Central Standard Time, -6,
America/Blanc-Sablon, Atlantic Standard Time, -4,
America/Boa_Vista, Amazon Time, -4,
America/Bogota, Colombia Time, -5,
America/Boise, Mountain Standard Time, -7,
America/Buenos_Aires, Argentine Time, -3,
America/Cambridge_Bay, Mountain Standard Time, -7,
America/Campo_Grande, Amazon Time, -4,
America/Cancun, Central Standard Time, -6,
America/Caracas, Venezuela Time, -4.5,
America/Catamarca, Argentine Time, -3,
America/Cayenne, French Guiana Time, -3,
America/Cayman, Eastern Standard Time, -5,
America/Chicago, Central Standard Time, -6,
America/Chihuahua, Mountain Standard Time, -7,
America/Coral_Harbour, Eastern Standard Time, -5,
America/Cordoba, Argentine Time, -3,
America/Costa_Rica, Central Standard Time, -6,
America/Cuiaba, Amazon Time, -4,
America/Curacao, Atlantic Standard Time, -4,
America/Danmarkshavn, Greenwich Mean Time, 0,
America/Dawson, Pacific Standard Time, -8,
America/Dawson_Creek, Mountain Standard Time, -7,
America/Denver, Mountain Standard Time, -7,
America/Detroit, Eastern Standard Time, -5,
America/Dominica, Atlantic Standard Time, -4,
America/Edmonton, Mountain Standard Time, -7,
America/Eirunepe, Amazon Time, -4,
America/El_Salvador, Central Standard Time, -6,
America/Ensenada, Pacific Standard Time, -8,
America/Fort_Wayne, Eastern Standard Time, -5,
America/Fortaleza, Brasilia Time, -3,
America/Glace_Bay, Atlantic Standard Time, -4,
America/Godthab, Western Greenland Time, -3,
America/Goose_Bay, Atlantic Standard Time, -4,
America/Grand_Turk, Eastern Standard Time, -5,
America/Grenada, Atlantic Standard Time, -4,
America/Guadeloupe, Atlantic Standard Time, -4,
America/Guatemala, Central Standard Time, -6,
America/Guayaquil, Ecuador Time, -5,
America/Guyana, Guyana Time, -4,
America/Halifax, Atlantic Standard Time, -4,
America/Havana, Cuba Standard Time, -5,
America/Hermosillo, Mountain Standard Time, -7,
America/Indiana/Indianapolis, Eastern Standard Time, -5,
America/Indiana/Knox, Central Standard Time, -6,
America/Indiana/Marengo, Eastern Standard Time, -5,
America/Indiana/Petersburg, Eastern Standard Time, -5,
America/Indiana/Tell_City, Central Standard Time, -6,
America/Indiana/Vevay, Eastern Standard Time, -5,
America/Indiana/Vincennes, Eastern Standard Time, -5,
America/Indiana/Winamac, Eastern Standard Time, -5,
America/Indianapolis, Eastern Standard Time, -5,
America/Inuvik, Mountain Standard Time, -7,
America/Iqaluit, Eastern Standard Time, -5,
America/Jamaica, Eastern Standard Time, -5,
America/Jujuy, Argentine Time, -3,
America/Juneau, Alaska Standard Time, -9,
America/Kentucky/Louisville, Eastern Standard Time, -5,
America/Kentucky/Monticello, Eastern Standard Time, -5,
America/Knox_IN, Central Standard Time, -6,
America/Kralendijk, GMT-04:00, -4,
America/La_Paz, Bolivia Time, -4,
America/Lima, Peru Time, -5,
America/Los_Angeles, Pacific Standard Time, -8,
America/Louisville, Eastern Standard Time, -5,
America/Lower_Princes, GMT-04:00, -4,
America/Maceio, Brasilia Time, -3,
America/Managua, Central Standard Time, -6,
America/Manaus, Amazon Time, -4,
America/Marigot, Atlantic Standard Time, -4,
America/Martinique, Atlantic Standard Time, -4,
America/Matamoros, Central Standard Time, -6,
America/Mazatlan, Mountain Standard Time, -7,
America/Mendoza, Argentine Time, -3,
America/Menominee, Central Standard Time, -6,
America/Merida, Central Standard Time, -6,
America/Metlakatla, Metlakatla Standard Time, -8,
America/Mexico_City, Central Standard Time, -6,
America/Miquelon, Pierre & Miquelon Standard Time, -3,
America/Moncton, Atlantic Standard Time, -4,
America/Monterrey, Central Standard Time, -6,
America/Montevideo, Uruguay Time, -3,
America/Montreal, Eastern Standard Time, -5,
America/Montserrat, Atlantic Standard Time, -4,
America/Nassau, Eastern Standard Time, -5,
America/New_York, Eastern Standard Time, -5,
America/Nipigon, Eastern Standard Time, -5,
America/Nome, Alaska Standard Time, -9,
America/Noronha, Fernando de Noronha Time, -2,
America/North_Dakota/Beulah, Central Standard Time, -6,
America/North_Dakota/Center, Central Standard Time, -6,
America/North_Dakota/New_Salem, Central Standard Time, -6,
America/Ojinaga, Mountain Standard Time, -7,
America/Panama, Eastern Standard Time, -5,
America/Pangnirtung, Eastern Standard Time, -5,
America/Paramaribo, Suriname Time, -3,
America/Phoenix, Mountain Standard Time, -7,
America/Port-au-Prince, Eastern Standard Time, -5,
America/Port_of_Spain, Atlantic Standard Time, -4,
America/Porto_Acre, Amazon Time, -4,
America/Porto_Velho, Amazon Time, -4,
America/Puerto_Rico, Atlantic Standard Time, -4,
America/Rainy_River, Central Standard Time, -6,
America/Rankin_Inlet, Central Standard Time, -6,
America/Recife, Brasilia Time, -3,
America/Regina, Central Standard Time, -6,
America/Resolute, Eastern Standard Time, -6,
America/Rio_Branco, Amazon Time, -4,
America/Rosario, Argentine Time, -3,
America/Santa_Isabel, Pacific Standard Time, -8,
America/Santarem, Brasilia Time, -3,
America/Santiago, Chile Time, -4,
America/Santo_Domingo, Atlantic Standard Time, -4,
America/Sao_Paulo, Brasilia Time, -3,
America/Scoresbysund, Eastern Greenland Time, -1,
America/Shiprock, Mountain Standard Time, -7,
America/Sitka, Alaska Standard Time, -9,
America/St_Barthelemy, Atlantic Standard Time, -4,
America/St_Johns, Newfoundland Standard Time, -3.5,
America/St_Kitts, Atlantic Standard Time, -4,
America/St_Lucia, Atlantic Standard Time, -4,
America/St_Thomas, Atlantic Standard Time, -4,
America/St_Vincent, Atlantic Standard Time, -4,
America/Swift_Current, Central Standard Time, -6,
America/Tegucigalpa, Central Standard Time, -6,
America/Thule, Atlantic Standard Time, -4,
America/Thunder_Bay, Eastern Standard Time, -5,
America/Tijuana, Pacific Standard Time, -8,
America/Toronto, Eastern Standard Time, -5,
America/Tortola, Atlantic Standard Time, -4,
America/Vancouver, Pacific Standard Time, -8,
America/Virgin, Atlantic Standard Time, -4,
America/Whitehorse, Pacific Standard Time, -8,
America/Winnipeg, Central Standard Time, -6,
America/Yakutat, Alaska Standard Time, -9,
America/Yellowknife, Mountain Standard Time, -7,
Antarctica/Casey, Western Standard Time (Australia), 8,
Antarctica/Davis, Davis Time, 7,
Antarctica/DumontDUrville, Dumont-d'Urville Time, 10,
Antarctica/Macquarie, Macquarie Island Time, 11,
Antarctica/Mawson, Mawson Time, 5,
Antarctica/McMurdo, New Zealand Standard Time, 12,
Antarctica/Palmer, Chile Time, -4,
Antarctica/Rothera, Rothera Time, -3,
Antarctica/South_Pole, New Zealand Standard Time, 12,
Antarctica/Syowa, Syowa Time, 3,
Antarctica/Vostok, Vostok Time, 6,
Arctic/Longyearbyen, Central European Time, 1,
Asia/Aden, Arabia Standard Time, 3,
Asia/Almaty, Alma-Ata Time, 6,
Asia/Amman, Eastern European Time, 2,
Asia/Anadyr, Anadyr Time, 12,
Asia/Aqtau, Aqtau Time, 5,
Asia/Aqtobe, Aqtobe Time, 5,
Asia/Ashgabat, Turkmenistan Time, 5,
Asia/Ashkhabad, Turkmenistan Time, 5,
Asia/Baghdad, Arabia Standard Time, 3,
Asia/Bahrain, Arabia Standard Time, 3,
Asia/Baku, Azerbaijan Time, 4,
Asia/Bangkok, Indochina Time, 7,
Asia/Beirut, Eastern European Time, 2,
Asia/Bishkek, Kirgizstan Time, 6,
Asia/Brunei, Brunei Time, 8,
Asia/Calcutta, India Standard Time, 5.5,
Asia/Choibalsan, Choibalsan Time, 8,
Asia/Chongqing, China Standard Time, 8,
Asia/Chungking, China Standard Time, 8,
Asia/Colombo, India Standard Time, 5.5,
Asia/Dacca, Bangladesh Time, 6,
Asia/Damascus, Eastern European Time, 2,
Asia/Dhaka, Bangladesh Time, 6,
Asia/Dili, Timor-Leste Time, 9,
Asia/Dubai, Gulf Standard Time, 4,
Asia/Dushanbe, Tajikistan Time, 5,
Asia/Gaza, Eastern European Time, 2,
Asia/Harbin, China Standard Time, 8,
Asia/Hebron, GMT+02:00, 2,
Asia/Ho_Chi_Minh, Indochina Time, 7,
Asia/Hong_Kong, Hong Kong Time, 8,
Asia/Hovd, Hovd Time, 7,
Asia/Irkutsk, Irkutsk Time, 9,
Asia/Istanbul, Eastern European Time, 2,
Asia/Jakarta, West Indonesia Time, 7,
Asia/Jayapura, East Indonesia Time, 9,
Asia/Jerusalem, Israel Standard Time, 2,
Asia/Kabul, Afghanistan Time, 4.5,
Asia/Kamchatka, Petropavlovsk-Kamchatski Time, 12,
Asia/Karachi, Pakistan Time, 5,
Asia/Kashgar, China Standard Time, 8,
Asia/Kathmandu, Nepal Time, 5.75,
Asia/Katmandu, Nepal Time, 5.75,
Asia/Kolkata, India Standard Time, 5.5,
Asia/Krasnoyarsk, Krasnoyarsk Time, 8,
Asia/Kuala_Lumpur, Malaysia Time, 8,
Asia/Kuching, Malaysia Time, 8,
Asia/Kuwait, Arabia Standard Time, 3,
Asia/Macao, China Standard Time, 8,
Asia/Macau, China Standard Time, 8,
Asia/Magadan, Magadan Time, 12,
Asia/Makassar, Central Indonesia Time, 8,
Asia/Manila, Philippines Time, 8,
Asia/Muscat, Gulf Standard Time, 4,
Asia/Nicosia, Eastern European Time, 2,
Asia/Novokuznetsk, Novosibirsk Time, 7,
Asia/Novosibirsk, Novosibirsk Time, 7,
Asia/Omsk, Omsk Time, 7,
Asia/Oral, Oral Time, 5,
Asia/Phnom_Penh, Indochina Time, 7,
Asia/Pontianak, West Indonesia Time, 7,
Asia/Pyongyang, Korea Standard Time, 9,
Asia/Qatar, Arabia Standard Time, 3,
Asia/Qyzylorda, Qyzylorda Time, 6,
Asia/Rangoon, Myanmar Time, 6.5,
Asia/Riyadh, Arabia Standard Time, 3,
Asia/Riyadh87, GMT+03:07, 3.1177777778,
Asia/Riyadh88, GMT+03:07, 3.1177777778,
Asia/Riyadh89, GMT+03:07, 3.1177777778,
Asia/Saigon, Indochina Time, 7,
Asia/Sakhalin, Sakhalin Time, 11,
Asia/Samarkand, Uzbekistan Time, 5,
Asia/Seoul, Korea Standard Time, 9,
Asia/Shanghai, China Standard Time, 8,
Asia/Singapore, Singapore Time, 8,
Asia/Taipei, China Standard Time, 8,
Asia/Tashkent, Uzbekistan Time, 5,
Asia/Tbilisi, Georgia Time, 4,
Asia/Tehran, Iran Standard Time, 3.5,
Asia/Tel_Aviv, Israel Standard Time, 2,
Asia/Thimbu, Bhutan Time, 6,
Asia/Thimphu, Bhutan Time, 6,
Asia/Tokyo, Japan Standard Time, 9,
Asia/Ujung_Pandang, Central Indonesia Time, 8,
Asia/Ulaanbaatar, Ulaanbaatar Time, 8,
Asia/Ulan_Bator, Ulaanbaatar Time, 8,
Asia/Urumqi, China Standard Time, 8,
Asia/Vientiane, Indochina Time, 7,
Asia/Vladivostok, Vladivostok Time, 11,
Asia/Yakutsk, Yakutsk Time, 10,
Asia/Yekaterinburg, Yekaterinburg Time, 6,
Asia/Yerevan, Armenia Time, 4,
Atlantic/Azores, Azores Time, -1,
Atlantic/Bermuda, Atlantic Standard Time, -4,
Atlantic/Canary, Western European Time, 0,
Atlantic/Cape_Verde, Cape Verde Time, -1,
Atlantic/Faeroe, Western European Time, 0,
Atlantic/Faroe, Western European Time, 0,
Atlantic/Jan_Mayen, Central European Time, 1,
Atlantic/Madeira, Western European Time, 0,
Atlantic/Reykjavik, Greenwich Mean Time, 0,
Atlantic/South_Georgia, South Georgia Standard Time, -2,
Atlantic/St_Helena, Greenwich Mean Time, 0,
Atlantic/Stanley, Falkland Is. Time, -4,
Australia/ACT, Eastern Standard Time (New South Wales), 10,
Australia/Adelaide, Central Standard Time (South Australia), 9.5,
Australia/Brisbane, Eastern Standard Time (Queensland), 10,
Australia/Broken_Hill, Central Standard Time (South Australia/New South Wales), 9.5,
Australia/Canberra, Eastern Standard Time (New South Wales), 10,
Australia/Currie, Eastern Standard Time (New South Wales), 10,
Australia/Darwin, Central Standard Time (Northern Territory), 9.5,
Australia/Eucla, Central Western Standard Time (Australia), 8.75,
Australia/Hobart, Eastern Standard Time (Tasmania), 10,
Australia/LHI, Lord Howe Standard Time, 10.5,
Australia/Lindeman, Eastern Standard Time (Queensland), 10,
Australia/Lord_Howe, Lord Howe Standard Time, 10.5,
Australia/Melbourne, Eastern Standard Time (Victoria), 10,
Australia/NSW, Eastern Standard Time (New South Wales), 10,
Australia/North, Central Standard Time (Northern Territory), 9.5,
Australia/Perth, Western Standard Time (Australia), 8,
Australia/Queensland, Eastern Standard Time (Queensland), 10,
Australia/South, Central Standard Time (South Australia), 9.5,
Australia/Sydney, Eastern Standard Time (New South Wales), 10,
Australia/Tasmania, Eastern Standard Time (Tasmania), 10,
Australia/Victoria, Eastern Standard Time (Victoria), 10,
Australia/West, Western Standard Time (Australia), 8,
Australia/Yancowinna, Central Standard Time (South Australia/New South Wales), 9.5,
Brazil/Acre, Amazon Time, -4,
Brazil/DeNoronha, Fernando de Noronha Time, -2,
Brazil/East, Brasilia Time, -3,
Brazil/West, Amazon Time, -4,
Canada/Atlantic, Atlantic Standard Time, -4,
Canada/Central, Central Standard Time, -6,
Canada/East-Saskatchewan, Central Standard Time, -6,
Canada/Eastern, Eastern Standard Time, -5,
Canada/Mountain, Mountain Standard Time, -7,
Canada/Newfoundland, Newfoundland Standard Time, -3.5,
Canada/Pacific, Pacific Standard Time, -8,
Canada/Saskatchewan, Central Standard Time, -6,
Canada/Yukon, Pacific Standard Time, -8,
Chile/Continental, Chile Time, -4,
Chile/EasterIsland, Easter Is. Time, -6,
Cuba, Cuba Standard Time, -5,
Egypt, Eastern European Time, 2,
Eire, Greenwich Mean Time, 0,
Europe/Amsterdam, Central European Time, 1,
Europe/Andorra, Central European Time, 1,
Europe/Athens, Eastern European Time, 2,
Europe/Belfast, Greenwich Mean Time, 0,
Europe/Belgrade, Central European Time, 1,
Europe/Berlin, Central European Time, 1,
Europe/Bratislava, Central European Time, 1,
Europe/Brussels, Central European Time, 1,
Europe/Bucharest, Eastern European Time, 2,
Europe/Budapest, Central European Time, 1,
Europe/Chisinau, Eastern European Time, 2,
Europe/Copenhagen, Central European Time, 1,
Europe/Dublin, Greenwich Mean Time, 0,
Europe/Gibraltar, Central European Time, 1,
Europe/Guernsey, Greenwich Mean Time, 0,
Europe/Helsinki, Eastern European Time, 2,
Europe/Isle_of_Man, Greenwich Mean Time, 0,
Europe/Istanbul, Eastern European Time, 2,
Europe/Jersey, Greenwich Mean Time, 0,
Europe/Kaliningrad, Eastern European Time, 3,
Europe/Kiev, Eastern European Time, 2,
Europe/Lisbon, Western European Time, 0,
Europe/Ljubljana, Central European Time, 1,
Europe/London, Greenwich Mean Time, 0,
Europe/Luxembourg, Central European Time, 1,
Europe/Madrid, Central European Time, 1,
Europe/Malta, Central European Time, 1,
Europe/Mariehamn, Eastern European Time, 2,
Europe/Minsk, Eastern European Time, 3,
Europe/Monaco, Central European Time, 1,
Europe/Moscow, Moscow Standard Time, 4,
Europe/Nicosia, Eastern European Time, 2,
Europe/Oslo, Central European Time, 1,
Europe/Paris, Central European Time, 1,
Europe/Podgorica, Central European Time, 1,
Europe/Prague, Central European Time, 1,
Europe/Riga, Eastern European Time, 2,
Europe/Rome, Central European Time, 1,
Europe/Samara, Samara Time, 4,
Europe/San_Marino, Central European Time, 1,
Europe/Sarajevo, Central European Time, 1,
Europe/Simferopol, Eastern European Time, 2,
Europe/Skopje, Central European Time, 1,
Europe/Sofia, Eastern European Time, 2,
Europe/Stockholm, Central European Time, 1,
Europe/Tallinn, Eastern European Time, 2,
Europe/Tirane, Central European Time, 1,
Europe/Tiraspol, Eastern European Time, 2,
Europe/Uzhgorod, Eastern European Time, 2,
Europe/Vaduz, Central European Time, 1,
Europe/Vatican, Central European Time, 1,
Europe/Vienna, Central European Time, 1,
Europe/Vilnius, Eastern European Time, 2,
Europe/Volgograd, Volgograd Time, 4,
Europe/Warsaw, Central European Time, 1,
Europe/Zagreb, Central European Time, 1,
Europe/Zaporozhye, Eastern European Time, 2,
Europe/Zurich, Central European Time, 1,
GB-Eire, Greenwich Mean Time, 0,
Greenwich, Greenwich Mean Time, 0,
Hongkong, Hong Kong Time, 8,
Iceland, Greenwich Mean Time, 0,
Indian/Antananarivo, Eastern African Time, 3,
Indian/Chagos, Indian Ocean Territory Time, 6,
Indian/Christmas, Christmas Island Time, 7,
Indian/Cocos, Cocos Islands Time, 6.5,
Indian/Comoro, Eastern African Time, 3,
Indian/Kerguelen, French Southern & Antarctic Lands Time, 5,
Indian/Mahe, Seychelles Time, 4,
Indian/Maldives, Maldives Time, 5,
Indian/Mauritius, Mauritius Time, 4,
Indian/Mayotte, Eastern African Time, 3,
Indian/Reunion, Reunion Time, 4,
Iran, Iran Standard Time, 3.5,
Israel, Israel Standard Time, 2,
Jamaica, Eastern Standard Time, -5,
Japan, Japan Standard Time, 9,
Kwajalein, Marshall Islands Time, 12,
Libya, Eastern European Time, 2,
Mexico/BajaNorte, Pacific Standard Time, -8,
Mexico/BajaSur, Mountain Standard Time, -7,
Mexico/General, Central Standard Time, -6,
Mideast/Riyadh87, GMT+03:07, 3.1177777778,
Mideast/Riyadh88, GMT+03:07, 3.1177777778,
Mideast/Riyadh89, GMT+03:07, 3.1177777778,
NZ-CHAT, Chatham Standard Time, 12.75,
Navajo, Mountain Standard Time, -7,
Pacific/Apia, West Samoa Time, 13,
Pacific/Auckland, New Zealand Standard Time, 12,
Pacific/Chatham, Chatham Standard Time, 12.75,
Pacific/Chuuk, Chuuk Time, 10,
Pacific/Easter, Easter Is. Time, -6,
Pacific/Efate, Vanuatu Time, 11,
Pacific/Enderbury, Phoenix Is. Time, 13,
Pacific/Fakaofo, Tokelau Time, -10,
Pacific/Fiji, Fiji Time, 12,
Pacific/Funafuti, Tuvalu Time, 12,
Pacific/Galapagos, Galapagos Time, -6,
Pacific/Gambier, Gambier Time, -9,
Pacific/Guadalcanal, Solomon Is. Time, 11,
Pacific/Guam, Chamorro Standard Time, 10,
Pacific/Honolulu, Hawaii Standard Time, -10,
Pacific/Johnston, Hawaii Standard Time, -10,
Pacific/Kiritimati, Line Is. Time, 14,
Pacific/Kosrae, Kosrae Time, 11,
Pacific/Kwajalein, Marshall Islands Time, 12,
Pacific/Majuro, Marshall Islands Time, 12,
Pacific/Marquesas, Marquesas Time, -9.5,
Pacific/Midway, Samoa Standard Time, -11,
Pacific/Nauru, Nauru Time, 12,
Pacific/Niue, Niue Time, -11,
Pacific/Norfolk, Norfolk Time, 11.5,
Pacific/Noumea, New Caledonia Time, 11,
Pacific/Pago_Pago, Samoa Standard Time, -11,
Pacific/Palau, Palau Time, 9,
Pacific/Pitcairn, Pitcairn Standard Time, -8,
Pacific/Pohnpei, Pohnpei Time, 11,
Pacific/Ponape, Pohnpei Time, 11,
Pacific/Port_Moresby, Papua New Guinea Time, 10,
Pacific/Rarotonga, Cook Is. Time, -10,
Pacific/Saipan, Chamorro Standard Time, 10,
Pacific/Samoa, Samoa Standard Time, -11,
Pacific/Tahiti, Tahiti Time, -10,
Pacific/Tarawa, Gilbert Is. Time, 12,
Pacific/Tongatapu, Tonga Time, 13,
Pacific/Truk, Chuuk Time, 10,
Pacific/Wake, Wake Time, 12,
Pacific/Wallis, Wallis & Futuna Time, 12,
Pacific/Yap, Chuuk Time, 10,
Poland, Central European Time, 1,
Portugal, Western European Time, 0,
Singapore, Singapore Time, 8,
Turkey, Eastern European Time, 2,
US/Alaska, Alaska Standard Time, -9,
US/Aleutian, Hawaii-Aleutian Standard Time, -10,
US/Arizona, Mountain Standard Time, -7,
US/Central, Central Standard Time, -6,
US/East-Indiana, Eastern Standard Time, -5,
US/Eastern, Eastern Standard Time, -5,
US/Hawaii, Hawaii Standard Time, -10,
US/Indiana-Starke, Central Standard Time, -6,
US/Michigan, Eastern Standard Time, -5,
US/Mountain, Mountain Standard Time, -7,
US/Pacific, Pacific Standard Time, -8,
US/Pacific-New, Pacific Standard Time, -8,
US/Samoa, Samoa Standard Time, -11,
Universal, Coordinated Universal Time, 0,
W-SU, Moscow Standard Time, 4,
Zulu, Coordinated Universal Time, 0,
